Atividade,Mês
Apresentação,M6
1. Introdução,M4
1.1. Objetivos,M4
"1.2. Escopo setorial, temporal e geográfico",M4
1.3. Metodologia e fontes de informação,M4
1.4. Estrutura do relatório e articulação entre os tomos,M4
2. Economia Marítima,M5
2.1. Conceito e delimitação da economia marítima,M3
2.2. Interdependências entre a construção naval e demais setores marítimos,M3
2.3. Relevância estratégica e econômica da economia marítima,M3
"2.4. Vetores de transformação: geopolítica, transição energética, cadeias globais e regulação ambiental",M5
3. Transporte Marítimo Mundial,M4
3.1. Evolução do comércio e do transporte marítimo mundial,M3
3.2. Regulamentação internacional do transporte marítimo,M3
3.3. Principais tipos de embarcações: aspectos tecnológicos e operacionais,M3
3.4. Estrutura e evolução da frota mercante,M3
"3.5. Mercado de transporte de granéis líquidos, gases liquefeitos e produtos químicos",M3
3.6. Mercado de transporte de granéis sólidos,M3
3.7. Mercado de transporte de contêineres,M3
"3.8. Outros segmentos: veículos, cargas de projeto, apoio marítimo e portuário",M3
"3.9. Evolução dos preços, fretes e condições de mercado",M3
"3.10. Carteira de encomendas, renovação da frota e perspectivas de demanda por novas embarcações",M4
"3.11. Fatores econômicos, geopolíticos e ambientais que condicionam a expansão, renovação e transformação tecnológica das frotas",M4
3.12. Perspectivas do transporte marítimo mundial e implicações para a marinha mercante e a indústria naval brasileiras,M4
4. Transporte Marítimo no Brasil,M4
4.1. Evolução da marinha mercante brasileira,M3
4.2. Principais fluxos de transporte marítimo de cabotagem e longo curso,M3
4.3. Regulamentação do transporte marítimo no Brasil,M3
"4.4. Estrutura e organização dos mercados: empresas, frotas, bandeiras e afretamento",M3
4.5. Integração às redes mundiais de transporte marítimo,M4
4.6. Apoio portuário e apoio marítimo,M4
4.7. Custos diferenciais da bandeira brasileira,M4
4.8. Panorama do setor pesqueiro,M4
"4.9. Cenários de demanda para construção, reparo, conversão e modernização de navios e embarcações de apoio",M4
5. Transporte Hidroviário Interior,M5
5.1. Principais bacias e sistemas de navegação interior no Brasil,M3
5.2. Regulamentação da navegação interior,M3
5.3. Principais tipos de embarcações: aspectos tecnológicos e operacionais,M3
5.4. Infraestrutura e condições de navegabilidade,M4
5.5. Fluxos e estrutura das operações,M4
5.6. Empresas e frotas,M4
5.7. Transporte multimodal,M4
5.8. Navegação fluvial de percurso internacional,M4
5.9. Transporte de passageiros na Região Amazônica,M5
5.10. Transporte hidroviário urbano,M5
5.11. Navegação interior e desenvolvimento regional,M5
5.12. Cenários de demanda para construção de embarcações fluviais,M5
6. Indústria de Óleo e Gás e de Energia Eólica Offshore,M5
6.1. Evolução e perspectivas da indústria mundial de óleo e gás offshore,M4
6.2. Marcos regulatórios nos principais polos,M4
6.3. Principais tipos de unidades flutuantes de exploração e produção: aspectos tecnológicos e operacionais,M4
"6.4. Mercado internacional de unidades de exploração e produção offshore: demanda, oferta, formas de contratação e preços",M4
6.5. Embarcações de apoio e aliviadores: aspectos tecnológicos e operacionais,M4
"6.6. Mercado internacional de embarcações de apoio e aliviadores: regiões de operação, demanda, oferta, formas de contratação e preços",M4
"6.7. Atividade offshore no Brasil: campos, empresas e perspectivas",M4
6.8. Frota e demanda por unidades flutuantes de produção e sondas no Brasil,M4
"6.9. Cenários de demanda de E&P no Brasil: construção, fabricação e integração de módulos e descomissionamento",M5
6.10. Mercado brasileiro de navios aliviadores e embarcações de apoio offshore,M5
"6.11. O setor de geração eólica offshore no Brasil: evolução, perspectivas e regulamentação",M5
6.12. Tipos de instalações e embarcações para energia eólica offshore: aspectos tecnológicos e operacionais,M5
"6.13. Cenários de demanda por navios aliviadores, embarcações de apoio especializadas e instalações de geração eólica offshore no Brasil",M5
7. Construção naval militar,M4
7.1. Construção naval militar no mundo: políticas navais e modelos de governança,M2
7.2. Principais tipos de navios e embarcações militares: aspectos tecnológicos e operacionais,M2
7.3. Evolução da construção naval militar no Brasil,M2
7.4. Programas navais em curso e previstos,M3
"7.5. Programas de offset, clusters navais e estratégias de inovação",M4
7.6. Participação da indústria local e processos de transferência de tecnologia,M4
"7.7. Gargalos econômicos, produtivos e tecnológicos",M4
7.8. Oportunidades para inserção nas cadeias globais,M4
8. Descarbonização na Indústria Marítima,M5
"8.1. Direcionadores globais, metas e regulamentação internacional da descarbonização marítima",M1
8.2. Estratégias de descarbonização nos principais países e regiões,M4
"8.3. Respostas de armadores, operadores, portos e fornecedores de energia à descarbonização",M4
"8.4. Combustíveis marítimos alternativos: características, disponibilidade, custos e perspectivas",M4
"8.5. Tecnologias de eficiência energética e redução de emissões: casco, propulsão, sistemas de controle e digitalização",M4
"8.6. Maturidade tecnológica, custos e perspectivas de adoção das tecnologias de descarbonização",M5
"8.7. Frota mundial: adoção de combustíveis alternativos e tecnologias de eficiência energética por segmento, país e perfil de empresa",M3
"8.8. Impactos da descarbonização sobre os mercados, renovação da frota e demanda por novas embarcações e retrofitting",M5
8.9. Frota brasileira: estratégias de descarbonização dos armadores,M5
8.10. Potencial competitivo do Brasil na produção e utilização de combustíveis marítimos renováveis,M5
"8.11. Infraestrutura de abastecimento, bunkering, portos e corredores verdes",M5
1. Construção Naval Mundial,M5
1.1. Análise da trajetória e da estrutura atual da construção naval mundial,M3
"1.2. Evolução da produção, da capacidade dos estaleiros e dos padrões de produção",M3
"1.3. Segmentos da indústria naval: navios mercantes, offshore, apoio marítimo, defesa e outros",M3
"1.4. Principais estaleiros e organizações empresariais: estatais e privados, grupos de estaleiros, verticalização e escala",M3
1.5. Protecionismo e fatores de competitividade,M4
1.6. Estrutura e integração da cadeia produtiva,M4
"1.7. Transformações ambientais, tecnológicas e geopolíticas e tendências da construção naval mundial",M5
